OID,Hotspot Dataset Object ID,Public Space (Open Space) Name,Public Space (Open Space) Proximity,Borough Name,Neighborhood Tabulation Area Code (NTA CODE),Neighborhood Tabulation Area Name (NTA NAME),Number of Access Points per Public Space (Open Space),Provider,SSID,Latitude,Longitude,Published Date
575,33,Ranaqua Park,Near,Bronx,BX37,Van Nest-Morris Park-Westchester Square,2,ALTICEUSA,GuestWiFi,40.8445899999999,-73.8598,05/30/2019
576,1244,Recreation Center 54,Near,Manhattan,MN19,Turtle Bay-East Midtown,3,SPECTRUM,GuestWiFi,40.757418,-73.965084,05/30/2019
577,1245,Recreation Center 54,Near,Manhattan,MN19,Turtle Bay-East Midtown,3,SPECTRUM,GuestWiFi,40.757418,-73.965084,05/30/2019
578,2529,Recreation Center 54,Near,Manhattan,MN19,Turtle Bay-East Midtown,3,SPECTRUM,GuestWiFi,40.757418,-73.965084,05/30/2019
579,552,Red Hook Park,Near,Brooklyn,BK33,Carroll Gardens-Columbia Street-Red Hook,6,SPECTRUM,GuestWiFi,40.672583,-74.005544,05/30/2019
580,553,Red Hook Park,Near,Brooklyn,BK33,Carroll Gardens-Columbia Street-Red Hook,6,SPECTRUM,GuestWiFi,40.673349,-74.0082349999999,05/30/2019
581,554,Red Hook Park,Near,Brooklyn,BK33,Carroll Gardens-Columbia Street-Red Hook,6,SPECTRUM,GuestWiFi,40.673031,-74.00485,05/30/2019
582,555,Red Hook Park,Near,Brooklyn,BK33,Carroll Gardens-Columbia Street-Red Hook,6,SPECTRUM,GuestWiFi,40.672969,-74.006915,05/30/2019
583,556,Red Hook Park,Near,Brooklyn,BK33,Carroll Gardens-Columbia Street-Red Hook,6,SPECTRUM,GuestWiFi,40.6722139999999,-74.0041449999999,05/30/2019
584,557,Red Hook Park,Near,Brooklyn,BK33,Carroll Gardens-Columbia Street-Red Hook,6,SPECTRUM,GuestWiFi,40.6711669999999,-74.0036879999999,05/30/2019
585,563,Richard Tucker Square,Near,Manhattan,MN14,Lincoln Square,1,SPECTRUM,GuestWiFi,40.7735419999999,-73.981774,05/30/2019
586,567,Rockaway Beach and Boardwalk,Near,Queens,QN12,Hammels-Arverne-Edgemere,2,SPECTRUM,GuestWiFi,40.5845509999999,-73.8110029999999,05/30/2019
587,569,Rockaway Beach and Boardwalk,Near,Queens,QN12,Hammels-Arverne-Edgemere,2,SPECTRUM,GuestWiFi,40.584727,-73.8106829999999,05/30/2019
588,1256,Rockaway Beach and Boardwalk,Near,Queens,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,2,SPECTRUM,GuestWiFi,40.5799859999999,-73.8298549999999,05/30/2019
589,1261,Rockaway Beach and Boardwalk,Near,Queens,QN15,Far Rockaway-Bayswater,2,SPECTRUM,GuestWiFi,40.596479,-73.744988,05/30/2019
590,1262,Rockaway Beach and Boardwalk,Near,Queens,QN15,Far Rockaway-Bayswater,2,SPECTRUM,GuestWiFi,40.5963739999999,-73.745389,05/30/2019
591,1263,Rockaway Beach and Boardwalk,Near,Queens,QN15,Far Rockaway-Bayswater,2,SPECTRUM,GuestWiFi,40.596321,-73.7457909999999,05/30/2019
592,1264,Rockaway Beach and Boardwalk,Near,Queens,QN15,Far Rockaway-Bayswater,2,SPECTRUM,GuestWiFi,40.5961969999999,-73.746262,05/30/2019
593,1265,Rockaway Beach and Boardwalk,Near,Queens,QN15,Far Rockaway-Bayswater,2,SPECTRUM,GuestWiFi,40.595714,-73.747247,05/30/2019
594,1266,Rockaway Beach and Boardwalk,Near,Queens,QN15,Far Rockaway-Bayswater,2,SPECTRUM,GuestWiFi,40.595592,-73.747612,05/30/2019
595,36,Seton Falls Park,Near,Bronx,BX03,Eastchester-Edenwald-Baychester,4,ALTICEUSA,GuestWiFi,40.8876369999999,-73.8359509999999,05/30/2019
596,37,Seton Falls Park,Near,Bronx,BX62,Woodlawn-Wakefield,4,ALTICEUSA,GuestWiFi,40.8887829999999,-73.8401329999999,05/30/2019
597,38,Seton Falls Park,Near,Bronx,BX03,Eastchester-Edenwald-Baychester,4,ALTICEUSA,GuestWiFi,40.8852839999999,-73.838521,05/30/2019
598,39,Seton Falls Park,Near,Bronx,BX03,Eastchester-Edenwald-Baychester,4,ALTICEUSA,GuestWiFi,40.886622,-73.8349699999999,05/30/2019
599,1286,Snug Harbor Cultural Center,Near,Staten Island,SI22,West New Brighton-New Brighton-St. George,9,SPECTRUM,GuestWiFi,40.6448159999999,-74.1004429999999,05/30/2019
600,1287,Snug Harbor Cultural Center,Near,Staten Island,SI22,West New Brighton-New Brighton-St. George,9,SPECTRUM,GuestWiFi,40.644885,-74.101038,05/30/2019
601,1288,Snug Harbor Cultural Center,Near,Staten Island,SI22,West New Brighton-New Brighton-St. George,9,SPECTRUM,GuestWiFi,40.6451229999999,-74.101629,05/30/2019
602,1290,Snug Harbor Cultural Center,Near,Staten Island,SI22,West New Brighton-New Brighton-St. George,9,SPECTRUM,GuestWiFi,40.645439,-74.1028799999999,05/30/2019
603,1291,Snug Harbor Cultural Center,Near,Staten Island,SI22,West New Brighton-New Brighton-St. George,9,SPECTRUM,GuestWiFi,40.645453,-74.1033979999999,05/30/2019
604,1300,Sorrentino Recreation Center,Near,Queens,QN15,Far Rockaway-Bayswater,4,SPECTRUM,GuestWiFi,40.6023489999999,-73.7514019999999,05/30/2019
605,1301,Sorrentino Recreation Center,Near,Queens,QN15,Far Rockaway-Bayswater,4,SPECTRUM,GuestWiFi,40.6023489999999,-73.7514019999999,05/30/2019
606,1302,Sorrentino Recreation Center,Near,Queens,QN15,Far Rockaway-Bayswater,4,SPECTRUM,GuestWiFi,40.6023489999999,-73.7514019999999,05/30/2019
607,1303,Sorrentino Recreation Center,Near,Queens,QN15,Far Rockaway-Bayswater,4,SPECTRUM,GuestWiFi,40.6023489999999,-73.7514019999999,05/30/2019
608,45,St. John's Recreation Center,Near,Brooklyn,BK61,Crown Heights North,10,ALTICEUSA,GuestWiFi,40.67343,-73.9346299999999,05/30/2019
609,1283,Staten Island Zoo,Near,Staten Island,SI22,West New Brighton-New Brighton-St. George,3,SPECTRUM,GuestWiFi,40.625382,-74.11457,05/30/2019
610,1284,Staten Island Zoo,Near,Staten Island,SI22,West New Brighton-New Brighton-St. George,3,SPECTRUM,GuestWiFi,40.625756,-74.114738,05/30/2019
611,1285,Staten Island Zoo,Near,Staten Island,SI22,West New Brighton-New Brighton-St. George,3,SPECTRUM,GuestWiFi,40.624698,-74.1142109999999,05/30/2019
612,960,Steeplechase Park,Near,Brooklyn,BK21,Seagate-Coney Island,3,ALTICEUSA,GuestWiFi,40.5761109999999,-73.984734,05/30/2019
613,961,Steeplechase Park,Near,Brooklyn,BK21,Seagate-Coney Island,3,ALTICEUSA,GuestWiFi,40.57585,-73.9835,05/30/2019
614,962,Steeplechase Park,Near,Brooklyn,BK21,Seagate-Coney Island,3,ALTICEUSA,GuestWiFi,40.5756399999999,-73.9856699999999,05/30/2019
615,1304,Tappen Park,Near,Staten Island,SI37,Stapleton-Rosebank,3,SPECTRUM,GuestWiFi,40.6270889999999,-74.0772919999999,05/30/2019
616,1305,Tappen Park,Near,Staten Island,SI37,Stapleton-Rosebank,3,SPECTRUM,GuestWiFi,40.62686,-74.0758479999999,05/30/2019
617,1306,Tappen Park,Near,Staten Island,SI37,Stapleton-Rosebank,3,SPECTRUM,GuestWiFi,40.6265789999999,-74.0761729999999,05/30/2019
618,1315,Tompkinsville Park,Near,Staten Island,SI37,Stapleton-Rosebank,1,SPECTRUM,GuestWiFi,40.637317,-74.0767629999999,05/30/2019
619,848,Vidalia Park,Near,Bronx,BX17,East Tremont,2,ALTICEUSA,GuestWiFi,40.8444679999999,-73.88169,05/30/2019
620,849,Vidalia Park,Near,Bronx,BX17,East Tremont,2,ALTICEUSA,GuestWiFi,40.844141,-73.881968,05/30/2019
621,2105,Washington Square Park,Near,Manhattan,MN23,West Village,8,SPECTRUM,GuestWiFi,40.7302549999999,-73.9979909999999,05/30/2019
622,1320,Washington Square Park,Near,Manhattan,MN23,West Village,8,SPECTRUM,GuestWiFi,40.732142,-73.9986289999999,05/30/2019
623,1321,Washington Square Park,Near,Manhattan,MN23,West Village,8,SPECTRUM,GuestWiFi,40.7318629999999,-73.9977779999999,05/30/2019
624,1322,Washington Square Park,Near,Manhattan,MN23,West Village,8,SPECTRUM,GuestWiFi,40.7313509999999,-73.99684,05/30/2019
625,1323,Washington Square Park,Near,Manhattan,MN23,West Village,8,SPECTRUM,GuestWiFi,40.730975,-73.9960789999999,05/30/2019
626,1324,Washington Square Park,Near,Manhattan,MN23,West Village,8,SPECTRUM,GuestWiFi,40.7298559999999,-73.997476,05/30/2019
627,1325,Washington Square Park,Near,Manhattan,MN23,West Village,8,SPECTRUM,GuestWiFi,40.7303939999999,-73.9984759999999,05/30/2019
628,1326,Washington Square Park,Near,Manhattan,MN23,West Village,8,SPECTRUM,GuestWiFi,40.731844,-73.999042,05/30/2019
629,1746,West 79th Street Boat Basin,Near,Manhattan,MN12,Upper West Side,1,SPECTRUM,GuestWiFi,40.785958,-73.9850749999999,05/30/2019
630,1327,West Harlem Piers,Near,Manhattan,MN06,Manhattanville,2,SPECTRUM,GuestWiFi,40.818499,-73.9596899999999,05/30/2019
631,1328,West Harlem Piers,Near,Manhattan,MN06,Manhattanville,2,SPECTRUM,GuestWiFi,40.82059,-73.9596899999999,05/30/2019
632,854,Williamsbridge Oval,Near,Bronx,BX43,Norwood,5,ALTICEUSA,GuestWiFi,40.8784449999999,-73.8754799999999,05/30/2019
633,855,Williamsbridge Oval,Near,Bronx,BX43,Norwood,5,ALTICEUSA,GuestWiFi,40.8767879999999,-73.8762729999999,05/30/2019
634,857,Williamsbridge Oval,Near,Bronx,BX43,Norwood,5,ALTICEUSA,GuestWiFi,40.876099,-73.877384,05/30/2019
635,858,Williamsbridge Oval,Near,Bronx,BX43,Norwood,5,ALTICEUSA,GuestWiFi,40.8761999999999,-73.8787489999999,05/30/2019
636,5,Wingate Park,Near,Brooklyn,BK60,Prospect Lefferts Gardens-Wingate,2,ALTICEUSA,GuestWiFi,40.6574299999999,-73.9471599999999,05/30/2019
637,2,Wingate Park,Near,Brooklyn,BK60,Prospect Lefferts Gardens-Wingate,2,ALTICEUSA,GuestWiFi,40.658,-73.94723,05/30/2019
638,3,Wingate Park,Near,Brooklyn,BK60,Prospect Lefferts Gardens-Wingate,2,ALTICEUSA,GuestWiFi,40.658,-73.94723,05/30/2019
639,4,Wingate Park,Near,Brooklyn,BK60,Prospect Lefferts Gardens-Wingate,2,ALTICEUSA,GuestWiFi,40.6574299999999,-73.9471599999999,05/30/2019
