TRACT_GEOID,BOROUGH,total_kiosks,live_kiosks,live_percentage,POP20,LAND_AREA_SQMI,POPULATION_DENSITY,kiosks_per_sqmi,kiosks_per_1000_pop,link_5g_count,link_1_count
36005007700,BRONX,0,0,0.0,1974,0.043558501123775434,45318.36378829244,0.0,0.0,,
36005007800,BRONX,0,0,0.0,7037,0.12041715511968124,58438.51727775836,0.0,0.0,,
36005007900,BRONX,0,0,0.0,6826,0.07642274465885483,89318.95904119554,0.0,0.0,,
36005008300,BRONX,4,3,75.0,6122,0.08259960699201821,74116.57540442757,48.43,0.65,2.0,2.0
36005008400,BRONX,0,0,0.0,2587,0.06053657134356497,42734.498214606894,0.0,0.0,,
36005008500,BRONX,4,4,100.0,5894,0.07013777372128555,84034.60342812788,57.03,0.68,3.0,1.0
36005008600,BRONX,0,0,0.0,4145,0.07245515887715794,57207.7967150348,0.0,0.0,,
36005008700,BRONX,5,5,100.0,5976,0.08246138241924207,72470.2863895418,60.63,0.84,1.0,4.0
36005008900,BRONX,2,2,100.0,3118,0.04258359317332928,73220.68824273966,46.97,0.64,0.0,2.0
36005009000,BRONX,0,0,0.0,3911,0.395630001560123,9885.499038438455,0.0,0.0,,
36005009200,BRONX,0,0,0.0,6271,0.11987506768901732,52312.796321153066,0.0,0.0,,
36005009301,BRONX,2,2,100.0,5551,0.22037475685554403,25188.910377964425,9.08,0.36,1.0,1.0
36005009302,BRONX,3,3,100.0,512,0.6808649017311512,751.9847163485748,4.41,5.86,0.0,3.0
36005009600,BRONX,4,2,50.0,2946,0.27160433566623593,10846.660428941846,14.73,1.36,4.0,0.0
36005009800,BRONX,0,0,0.0,5903,0.19978856196370726,29546.23599058846,0.0,0.0,,
36005011000,BRONX,0,0,0.0,0,0.7989017370431095,0.0,0.0,0.0,,
36005011502,BRONX,2,2,100.0,4396,0.12984422542387655,33855.95305181463,15.4,0.45,0.0,2.0
36005011701,BRONX,3,3,100.0,1554,0.08559498753837909,18155.268721818757,35.05,1.93,1.0,2.0
36005011702,BRONX,0,0,0.0,0,0.438919775581518,0.0,0.0,0.0,,
36005011800,BRONX,0,0,0.0,5324,0.3821160399072257,13932.940374061813,0.0,0.0,,
36005011900,BRONX,1,1,100.0,5703,0.06447867438279475,88447.84813879125,15.51,0.18,1.0,0.0
36005012101,BRONX,0,0,0.0,3319,0.04463920106567594,74351.68911551268,0.0,0.0,,
36005012102,BRONX,1,1,100.0,1616,0.019167269459009217,84310.39191346211,52.17,0.62,1.0,0.0
36005012300,BRONX,0,0,0.0,4766,0.11711520945939786,40694.97055079172,0.0,0.0,,
36005012500,BRONX,0,0,0.0,4139,0.06549837018363765,63192.412092018385,0.0,0.0,,
36005012701,BRONX,2,2,100.0,2184,0.041976254477863226,52029.4158487095,47.65,0.92,0.0,2.0
36005012901,BRONX,2,2,100.0,4923,0.060376338947749075,81538.56437470422,33.13,0.41,0.0,2.0
36005013000,BRONX,0,0,0.0,1198,0.04484344910757139,26715.16183169169,0.0,0.0,,
36005013100,BRONX,2,2,100.0,5390,0.08917685726364204,60441.69042720388,22.43,0.37,0.0,2.0
36005013200,BRONX,0,0,0.0,6652,0.23330917916839394,28511.522880112796,0.0,0.0,,
36005013300,BRONX,0,0,0.0,6064,0.06222808490035887,97447.96115306819,0.0,0.0,,
36005013500,BRONX,0,0,0.0,4001,0.06463388745054896,61902.51210034587,0.0,0.0,,
36005013800,BRONX,0,0,0.0,3060,0.29550483148743106,10355.16064017435,0.0,0.0,,
36005014100,BRONX,3,3,100.0,7344,0.06840378892704647,107362.4738511557,43.86,0.41,0.0,3.0
36005014300,BRONX,0,0,0.0,1898,0.05008169709319631,37898.07674584268,0.0,0.0,,
36005014400,BRONX,0,0,0.0,6046,0.15492464944173046,39025.42314464939,0.0,0.0,,
36005014500,BRONX,0,0,0.0,7055,0.0702331409544579,100451.1531753187,0.0,0.0,,
36005014701,BRONX,0,0,0.0,6361,0.05346086318519818,118984.23671096248,0.0,0.0,,
36005014702,BRONX,0,0,0.0,5081,0.04490599765726338,113147.4694934913,0.0,0.0,,
36005014900,BRONX,0,0,0.0,4723,0.060228461821008134,78418.0743987153,0.0,0.0,,
36005015100,BRONX,1,1,100.0,5957,0.08066948230121412,73844.52992715368,12.4,0.17,0.0,1.0
36005015200,BRONX,0,0,0.0,2593,0.10977270470944363,23621.53694639654,0.0,0.0,,
36005015300,BRONX,0,0,0.0,4258,0.09144289083242163,46564.582125943685,0.0,0.0,,
36005015500,BRONX,0,0,0.0,2891,0.04439441229712827,65120.80801184544,0.0,0.0,,
36005015700,BRONX,0,0,0.0,5542,0.123170063510446,44994.69954020106,0.0,0.0,,
36005015800,BRONX,0,0,0.0,1442,0.06261650367190295,23029.072455973757,0.0,0.0,,
36005015900,BRONX,1,1,100.0,2481,0.04000056973234522,62024.11657136514,25.0,0.4,0.0,1.0
36005016000,BRONX,0,0,0.0,4003,0.19092713132185,20966.11399483113,0.0,0.0,,
36005016100,BRONX,0,0,0.0,5243,0.09232667867343994,56787.4862968322,0.0,0.0,,
36005016200,BRONX,0,0,0.0,1908,0.06974781054110708,27355.69740752632,0.0,0.0,,
36005016300,BRONX,0,0,0.0,34,0.22626397308055596,150.26696268563754,0.0,0.0,,
36005016400,BRONX,0,0,0.0,1221,0.06354392105684223,19215.055975343,0.0,0.0,,
36005016500,BRONX,0,0,0.0,1097,0.07600112110167177,14433.9976055415,0.0,0.0,,
36005016600,BRONX,0,0,0.0,2625,0.11030513958614274,23797.621850158735,0.0,0.0,,
36005016700,BRONX,0,0,0.0,3373,0.07947411001821163,42441.49445935376,0.0,0.0,,
36005016900,BRONX,0,0,0.0,1586,0.0358742959634668,44209.92684051918,0.0,0.0,,
36005017100,BRONX,0,0,0.0,10,0.0674088036643535,148.348575503471,0.0,0.0,,
36005017300,BRONX,1,1,100.0,6395,0.06381226205706404,100215.84870759289,15.67,0.16,0.0,1.0
36005017500,BRONX,0,0,0.0,6988,0.05853038452751816,119390.98053788763,0.0,0.0,,
