crash_date,crash_time,latitude,longitude,on_street_name,zip_code,precinct,collision_type,roadway_type,geocode_dist_feet,time_is_known,borough,location,source,injury,fatality,injured_pedestrian,injured_cyclist,injured_ebike_rider,injured_motorcyclist,injured_moped_rider,injured_car_occupant,injured_suv_occupant,number_of_persons_injured,number_of_persons_killed,contributing_factor_vehicle_1,collision_id,cross_street_name,off_street_name,vehicle_type_code1
2026-07-03,00:00,40.636383,-73.9905007,13 AVE,11219,66,UNKNOWN,Street,47.3775567277502,False,BROOKLYN,"(40.636383, -73.9905007)",trafficstat,True,False,True,False,False,False,False,False,False,,,,,,,
2026-07-02,00:00,40.6414667,-73.9997585,9 AVE,11220,66,OTHER,Street,1.8980756571748325,False,BROOKLYN,"(40.6414667, -73.9997585)",trafficstat,True,False,False,True,False,False,False,False,False,,,,,,,
2026-07-02,00:00,40.6359824,-73.9805718,16 AVE,11218,66,UNKNOWN,Street,43.69684755158945,False,BROOKLYN,"(40.6359824, -73.9805718)",trafficstat,True,False,False,True,False,False,False,False,False,,,,,,,
2026-07-02,00:00,40.6354733,-73.9971781,52 ST,11219,66,UNKNOWN,Street,33.885563776399145,False,BROOKLYN,"(40.6354733, -73.9971781)",trafficstat,True,False,True,False,False,False,False,False,False,,,,,,,
2026-07-01,00:00,40.6284453,-73.9963361,NEW UTRECHT AVE,11219,66,UNKNOWN,Street,1.0245658907468504,False,BROOKLYN,"(40.6284453, -73.9963361)",trafficstat,True,False,False,False,False,False,False,True,False,,,,,,,
2026-06-30,00:00,40.6284453,-73.9963361,NEW UTRECHT AVE,11219,66,OTHER,Street,1.0245658907468504,False,BROOKLYN,"(40.6284453, -73.9963361)",trafficstat,True,False,False,False,False,False,False,True,False,,,,,,,
2026-07-01,00:00,40.6248005,-73.9711001,OCEAN PKWY,11230,66,UNKNOWN,Street,65.46687095326826,False,BROOKLYN,"(40.6248005, -73.9711001)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-07-01,00:00,40.6267289,-73.9953743,60 ST,11219,66,UNKNOWN,Street,57.95439210900063,False,BROOKLYN,"(40.6267289, -73.9953743)",trafficstat,True,False,False,False,False,False,False,False,True,,,,,,,
2026-07-01,00:00,40.6152042,-73.9633617,CONEY ISLAND AVE,11230,66,UNKNOWN,Street,0.2948118614626442,False,BROOKLYN,"(40.6152042, -73.9633617)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-06-30,00:00,40.6359159,-73.9793947,DAHILL RD,11218,66,UNKNOWN,Street,54.45647761339419,False,BROOKLYN,"(40.6359159, -73.9793947)",trafficstat,True,False,False,False,False,False,True,False,False,,,,,,,
2026-06-30,00:00,40.6350052,-73.9947853,NEW UTRECHT AVE,11219,66,UNKNOWN,Street,46.17274796376787,False,BROOKLYN,"(40.6350052, -73.9947853)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-06-30,00:00,40.6363115,-73.9784115,MCDONALD AVE,11218,66,OTHER,Street,52.75317348077888,False,BROOKLYN,"(40.6363115, -73.9784115)",trafficstat,True,False,True,False,False,False,False,False,False,,,,,,,
2026-06-30,00:00,40.6397642,-73.9944289,11 AVE,11219,66,UNKNOWN,Street,4.5752861123275474,False,BROOKLYN,"(40.6397642, -73.9944289)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-06-30,00:00,40.6453402,-73.9777736,E  3 ST,11218,66,OTHER,Street,0.0333770616445721,False,BROOKLYN,"(40.6453402, -73.9777736)",trafficstat,True,False,False,False,False,False,True,False,False,,,,,,,
2026-06-28,00:00,40.6434561,-73.9727186,E  7 ST,11218,66,UNKNOWN,Street,0.22683392233808758,False,BROOKLYN,"(40.6434561, -73.9727186)",trafficstat,True,False,False,False,False,False,False,True,False,,,,,,,
2026-06-28,00:00,40.6341845,-74.0071374,60 ST,11219,66,UNKNOWN,Street,41.55920054856139,False,BROOKLYN,"(40.6341845, -74.0071374)",trafficstat,True,False,False,False,False,False,False,True,False,,,,,,,
2026-06-28,00:00,40.6357835,-74.0018647,FORT HAMILTON PKWY,11219,66,UNKNOWN,Street,58.08512504584562,False,BROOKLYN,"(40.6357835, -74.0018647)",trafficstat,True,False,False,False,False,False,False,True,False,,,,,,,
2026-06-27,00:00,40.6442663,-73.9968433,42 ST,11219,66,UNKNOWN,Street,1.8094995721702882,False,BROOKLYN,"(40.6442663, -73.9968433)",trafficstat,True,False,True,False,False,False,False,False,False,,,,,,,
2026-06-26,00:00,40.6161414,-73.9684426,OCEAN PKWY,11230,66,UNKNOWN,Street,59.49243956341162,False,BROOKLYN,"(40.6161414, -73.9684426)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-06-25,00:00,40.6407693,-73.9940762,44 ST,11219,66,UNKNOWN,Street,2.3133574564721076,False,BROOKLYN,"(40.6407693, -73.9940762)",trafficstat,True,False,False,True,False,False,False,False,False,,,,,,,
2026-06-25,00:00,40.6347445,-74.0067518,9 AVE,11219,66,UNKNOWN,Street,2.0845017040025273,False,BROOKLYN,"(40.6347445, -74.0067518)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-06-25,00:00,40.6348559,-73.9915739,49 ST,11219,66,UNKNOWN,Street,43.461429188761315,False,BROOKLYN,"(40.6348559, -73.9915739)",trafficstat,True,False,True,False,False,False,False,False,False,,,,,,,
2026-06-25,00:00,40.6374154,-73.999092,FORT HAMILTON PKWY,11219,66,OTHER,Street,2.1929237660136245,False,BROOKLYN,"(40.6374154, -73.999092)",trafficstat,True,False,True,False,False,False,False,False,False,,,,,,,
2026-06-24,00:00,40.6366506,-73.9680375,CONEY ISLAND AVE,11218,66,OTHER,Street,0.010514232053921175,False,BROOKLYN,"(40.6366506, -73.9680375)",trafficstat,True,False,True,False,False,False,False,False,False,,,,,,,
2026-06-24,00:00,40.6379309,-74.0042134,54 ST,11220,66,OTHER,Street,43.00590869633797,False,BROOKLYN,"(40.6379309, -74.0042134)",trafficstat,True,False,False,False,False,False,False,True,False,,,,,,,
2026-06-24,00:00,40.6234132,-73.965119,CONEY ISLAND AVE,11230,66,UNKNOWN,Street,55.785947811054534,False,BROOKLYN,"(40.6234132, -73.965119)",trafficstat,True,False,False,False,False,False,True,False,False,,,,,,,
2026-06-24,00:00,40.6308831,-73.9858801,16 AVE,11204,66,UNKNOWN,Street,43.3790961047101,False,BROOKLYN,"(40.6308831, -73.9858801)",trafficstat,True,False,True,False,False,False,False,False,False,,,,,,,
2026-06-23,00:00,40.640533,-73.96936,CONEY ISLAND AVE,11218,66,UNKNOWN,Street,58.273739188428365,False,BROOKLYN,"(40.640533, -73.96936)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-06-23,00:00,40.6416571,-73.9867368,38 ST,11218,66,OTHER,Street,44.955754583657864,False,BROOKLYN,"(40.6416571, -73.9867368)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-06-22,00:00,40.6323923,-73.9952911,NEW UTRECHT AVE,11219,66,UNKNOWN,Street,1.22139440032695,False,BROOKLYN,"(40.6323923, -73.9952911)",trafficstat,True,False,False,False,False,False,False,True,False,,,,,,,
2026-06-21,00:00,40.6091811,-73.9710905,E  3 ST,11230,66,UNKNOWN,Street,46.86242700613889,False,BROOKLYN,"(40.6091811, -73.9710905)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
